Number of Targets, Time, Plan Length, Num Satellites, Num Modes, Num Instruments, Num Observations
4, 0.016270098999939364, 14, 10, 5, 10, 2
4, 0.011776426999858813, 13, 10, 5, 10, 2
4, 0.016444879000118817, 14, 10, 5, 10, 2
4, 0.009495152999988932, 11, 10, 5, 10, 2
4, 0.018024404000016148, 15, 10, 5, 10, 2
4, 0.010766992999833747, 13, 10, 5, 10, 2
4, 0.011751832000072682, 11, 10, 5, 10, 2
4, 0.010487272000091252, 12, 10, 5, 10, 2
4, 0.006949851999934253, 9, 10, 5, 10, 2
4, 0.006947156999785875, 8, 10, 5, 10, 2
4, 0.009241027000143731, 11, 10, 5, 10, 2
4, 0.005176768999945125, 6, 10, 5, 10, 2
4, 0.012561007000158497, 14, 10, 5, 10, 2
4, 0.012489013000049454, 14, 10, 5, 10, 2
4, 0.013902084999926956, 12, 10, 5, 10, 2
4, 0.00914252799998394, 10, 10, 5, 10, 2
5, 0.013176767000004475, 10, 10, 5, 10, 2
5, 0.00834948900001109, 10, 10, 5, 10, 2
5, 0.006121879999909652, 7, 10, 5, 10, 2
5, 0.010482873000000836, 13, 10, 5, 10, 2
5, 0.005536197000083121, 6, 10, 5, 10, 2
5, 0.015479185999993206, 12, 10, 5, 10, 2
5, 0.01307121299987557, 14, 10, 5, 10, 2
5, 0.014236167000035493, 13, 10, 5, 10, 2
5, 0.008090372999959072, 10, 10, 5, 10, 2
5, 0.008565248000195425, 8, 10, 5, 10, 2
5, 0.012712117000091894, 9, 10, 5, 10, 2
5, 0.007259217999944667, 8, 10, 5, 10, 2
5, 0.01570528000002014, 12, 10, 5, 10, 2
5, 0.008305880000079924, 10, 10, 5, 10, 2
5, 0.013956627999959892, 11, 10, 5, 10, 2
5, 0.010672131000092122, 12, 10, 5, 10, 2
5, 0.008278380000092511, 10, 10, 5, 10, 2
5, 0.010474712000132058, 11, 10, 5, 10, 2
5, 0.010487562999969668, 11, 10, 5, 10, 2
5, 0.004537687999800255, 6, 10, 5, 10, 2
5, 0.010637816999860661, 12, 10, 5, 10, 2
5, 0.013140033999889056, 13, 10, 5, 10, 2
5, 0.030833287999939785, 14, 10, 5, 10, 2
5, 0.010884142000122665, 13, 10, 5, 10, 2
5, 0.018261370000118404, 15, 10, 5, 10, 2
5, 0.00923319900016395, 9, 10, 5, 10, 2
5, 0.010627936999981102, 8, 10, 5, 10, 2
5, 0.013370672999826638, 12, 10, 5, 10, 2
5, 0.012647094999920228, 11, 10, 5, 10, 2
5, 0.011212125999918499, 12, 10, 5, 10, 2
5, 0.009189139000000068, 10, 10, 5, 10, 2
5, 0.012536112999896432, 13, 10, 5, 10, 2
5, 0.0073987630000829085, 9, 10, 5, 10, 2
5, 0.01191984299998694, 12, 10, 5, 10, 2
5, 0.009259284000108892, 10, 10, 5, 10, 2
5, 0.012117679000084536, 9, 10, 5, 10, 2
5, 0.014257765000138534, 15, 10, 5, 10, 2
5, 0.01419004599983964, 12, 10, 5, 10, 2
5, 0.009183730999893669, 11, 10, 5, 10, 2
5, 0.015309181000020544, 10, 10, 5, 10, 2
5, 0.011696609000182434, 12, 10, 5, 10, 2
5, 0.004686518000198703, 6, 10, 5, 10, 2
5, 0.006919539000136865, 8, 10, 5, 10, 2
5, 0.0075947679999899265, 7, 10, 5, 10, 2
5, 0.004141067000091425, 5, 10, 5, 10, 2
5, 0.00718518500002574, 8, 10, 5, 10, 2
5, 0.01026145999981054, 12, 10, 5, 10, 2
5, 0.009276195999973424, 11, 10, 5, 10, 2
5, 0.010797983999964345, 13, 10, 5, 10, 2
5, 0.006988218000060442, 8, 10, 5, 10, 2
6, 0.012586590999944747, 11, 10, 5, 10, 2
6, 0.00980081199986671, 12, 10, 5, 10, 2
6, 0.020311699000103545, 17, 10, 5, 10, 2
6, 0.01231615899996541, 12, 10, 5, 10, 2
6, 0.012277107000045362, 11, 10, 5, 10, 2
6, 0.014218170000049213, 14, 10, 5, 10, 2
6, 0.007920521999949415, 9, 10, 5, 10, 2
6, 0.007519778999949267, 9, 10, 5, 10, 2
6, 0.01535949599997366, 12, 10, 5, 10, 2
6, 0.004472196999813605, 4, 10, 5, 10, 2
6, 0.011251705000177026, 8, 10, 5, 10, 2
6, 0.012299409999968702, 13, 10, 5, 10, 2
6, 0.01207684199994219, 8, 10, 5, 10, 2
6, 0.011977632000025551, 13, 10, 5, 10, 2
6, 0.01509640499989473, 13, 10, 5, 10, 2
6, 0.006096217000049364, 8, 10, 5, 10, 2
6, 0.010210496000127023, 11, 10, 5, 10, 2
6, 0.010880763999921328, 12, 10, 5, 10, 2
6, 0.007042201999865938, 7, 10, 5, 10, 2
6, 0.012486449000107314, 10, 10, 5, 10, 2
6, 0.010775610999871787, 12, 10, 5, 10, 2
6, 0.014565598999979557, 13, 10, 5, 10, 2
6, 0.010434162999899854, 13, 10, 5, 10, 2
6, 0.01648442000009709, 14, 10, 5, 10, 2
6, 0.006105720000050496, 7, 10, 5, 10, 2
6, 0.013328758999932688, 11, 10, 5, 10, 2
6, 0.01181334800003242, 13, 10, 5, 10, 2
6, 0.003915168000048652, 5, 10, 5, 10, 2
6, 0.01854663599988271, 10, 10, 5, 10, 2
6, 0.013590339000074891, 15, 10, 5, 10, 2
6, 0.016653024000106598, 13, 10, 5, 10, 2
6, 0.01013860900002328, 11, 10, 5, 10, 2
6, 0.010595962999786934, 7, 10, 5, 10, 2
6, 0.00943003499992301, 11, 10, 5, 10, 2
6, 0.015420434000134264, 13, 10, 5, 10, 2
6, 0.009966706999875896, 11, 10, 5, 10, 2
6, 0.005315817000109746, 6, 10, 5, 10, 2
6, 0.010554834999993545, 12, 10, 5, 10, 2
6, 0.006087108999963675, 7, 10, 5, 10, 2
6, 0.01805471500006206, 14, 10, 5, 10, 2
6, 0.009937982000110424, 11, 10, 5, 10, 2
6, 0.016460309999956735, 14, 10, 5, 10, 2
6, 0.005514490999985355, 6, 10, 5, 10, 2
6, 0.0077252200001112215, 9, 10, 5, 10, 2
6, 0.012358274999996866, 14, 10, 5, 10, 2
6, 0.01301538799998525, 14, 10, 5, 10, 2
6, 0.012860256000067238, 11, 10, 5, 10, 2
6, 0.010627242000055048, 11, 10, 5, 10, 2
6, 0.005389347999880556, 7, 10, 5, 10, 2
6, 0.006531714999937321, 8, 10, 5, 10, 2
7, 0.02578521600003114, 15, 10, 5, 10, 2
7, 0.007481143000177326, 9, 10, 5, 10, 2
7, 0.01992324599996209, 16, 10, 5, 10, 2
7, 0.00951372600002287, 10, 10, 5, 10, 2
7, 0.01766472799999974, 11, 10, 5, 10, 2
7, 0.012204283000073701, 13, 10, 5, 10, 2
7, 0.016386022999995475, 14, 10, 5, 10, 2
7, 0.003049747999966712, 4, 10, 5, 10, 2
7, 0.015749167999956626, 13, 10, 5, 10, 2
7, 0.007763080999893646, 9, 10, 5, 10, 2
7, 0.01360915100008242, 14, 10, 5, 10, 2
7, 0.008022851000077935, 8, 10, 5, 10, 2
7, 0.015317157000026782, 11, 10, 5, 10, 2
7, 0.013608653999881426, 14, 10, 5, 10, 2
7, 0.01172174599992104, 12, 10, 5, 10, 2
7, 0.015031139000029725, 14, 10, 5, 10, 2
7, 0.01423065999983919, 10, 10, 5, 10, 2
7, 0.010541396000007808, 9, 10, 5, 10, 2
7, 0.012698940999825936, 13, 10, 5, 10, 2
7, 0.017661131000068053, 14, 10, 5, 10, 2
7, 0.01844210599983853, 14, 10, 5, 10, 2
7, 0.017049906000011106, 13, 10, 5, 10, 2
7, 0.015401824000036868, 17, 10, 5, 10, 2
7, 0.007546185999899535, 5, 10, 5, 10, 2
7, 0.012840210000149455, 14, 10, 5, 10, 2
7, 0.016668514000002688, 14, 10, 5, 10, 2
7, 0.014133833999949275, 14, 10, 5, 10, 2
7, 0.011873828000034337, 13, 10, 5, 10, 2
7, 0.014270445999954973, 11, 10, 5, 10, 2
7, 0.014665016999970248, 16, 10, 5, 10, 2
7, 0.015407550999952946, 11, 10, 5, 10, 2
7, 0.013533929000004719, 13, 10, 5, 10, 2
7, 0.003067741999984719, 4, 10, 5, 10, 2
7, 0.017989371000112442, 10, 10, 5, 10, 2
7, 0.00800667099997554, 6, 10, 5, 10, 2
7, 0.024753829000019323, 12, 10, 5, 10, 2
7, 0.011321246000079555, 12, 10, 5, 10, 2
7, 0.014291017000005013, 7, 10, 5, 10, 2
7, 0.01165956499994536, 10, 10, 5, 10, 2
7, 0.013994635000017297, 9, 10, 5, 10, 2
7, 0.009192152999958125, 8, 10, 5, 10, 2
7, 0.019576210000195715, 14, 10, 5, 10, 2
7, 0.01100237599985121, 9, 10, 5, 10, 2
7, 0.016875021999794626, 10, 10, 5, 10, 2
7, 0.013215245000083087, 11, 10, 5, 10, 2
7, 0.014099998999881791, 13, 10, 5, 10, 2
7, 0.014685025000062524, 15, 10, 5, 10, 2
7, 0.008021311999982572, 8, 10, 5, 10, 2
7, 0.016184612999950332, 15, 10, 5, 10, 2
7, 0.0037566369999240123, 4, 10, 5, 10, 2
8, 0.01167821100011679, 11, 10, 5, 10, 2
8, 0.013870400000087102, 14, 10, 5, 10, 2
8, 0.007334850999995979, 7, 10, 5, 10, 2
8, 0.018946808000009696, 11, 10, 5, 10, 2
8, 0.007584122000025673, 7, 10, 5, 10, 2
8, 0.016862013000036313, 11, 10, 5, 10, 2
8, 0.015073433999987174, 15, 10, 5, 10, 2
8, 0.016454111000030025, 13, 10, 5, 10, 2
8, 0.004020950999802153, 2, 10, 5, 10, 2
8, 0.02149981600018691, 13, 10, 5, 10, 2
8, 0.013617305000025226, 10, 10, 5, 10, 2
8, 0.015640759000007165, 8, 10, 5, 10, 2
8, 0.010206202000063058, 9, 10, 5, 10, 2
8, 0.02073684900005901, 12, 10, 5, 10, 2
8, 0.0119777999998405, 11, 10, 5, 10, 2
8, 0.013216748000104417, 12, 10, 5, 10, 2
8, 0.013599976000023162, 14, 10, 5, 10, 2
8, 0.00771658100006789, 6, 10, 5, 10, 2
8, 0.014066258000184462, 10, 10, 5, 10, 2
8, 0.017821525000044858, 14, 10, 5, 10, 2
8, 0.01358115099992574, 8, 10, 5, 10, 2
8, 0.013374871999985771, 13, 10, 5, 10, 2
8, 0.013984284000116531, 13, 10, 5, 10, 2
8, 0.011385620000055496, 7, 10, 5, 10, 2
8, 0.013131730999930369, 14, 10, 5, 10, 2
8, 0.016221124999901804, 8, 10, 5, 10, 2
8, 0.012093579000065802, 11, 10, 5, 10, 2
8, 0.0166349569999511, 13, 10, 5, 10, 2
8, 0.011158763999901566, 13, 10, 5, 10, 2
8, 0.01103350399989722, 10, 10, 5, 10, 2
8, 0.010250439999936134, 10, 10, 5, 10, 2
